id,name,r,g,b
1,Snow White,255,255,255
2,White,250,250,250
6,Salmon Very Light,255,201,177
8,Salmon Light,246,152,142
9,Salmon Medium Light,218,121,104
10,Salmon,240,90,77
11,Salmon Medium Dark,203,73,47
13,Salmon Dark,166,23,19
19,Burgundy,120,40,33
20,Burgundy Medium Dark,129,21,18
22,Burgundy Very Dark,96,7,1
23,Baby Pink,243,172,168
24,Carnation Very Light,246,172,169
25,Carnation Light,248,158,170
26,Carnation Medium Light,245,130,145
27,Carnation,245,110,140
28,Carnation Medium Dark,227,63,88
29,Carnation Dark,194,40,42
31,Blush Light,248,143,147
33,Blush,220,89,94
35,Blush Dark,212,43,50
36,Blossom Pink Light,226,140,153
38,Blossom Pink,201,75,96
39,Blossom Pink Dark,162,60,73
40,Carmine Rose Light,237,110,137
41,Carmine Rose Medium Light,212,79,100
42,Carmine Rose,169,59,70
43,Carmine Rose Medium Dark,125,28,37
44,Carmine Rose Dark,115,31,31
45,Carmine Rose Very Dark,95,28,35
46,Crimson Red,196,25,0
47,Carmine Red,148,0,1
48,China Rose Very Light,255,210,215
49,China Rose Light,247,177,187
50,China Rose,251,148,169
52,China Rose Medium Dark,245,102,129
54,China Rose Dark,213,77,108
55,Beauty Rose Light,235,128,158
57,Beauty Rose,214,73,115
59,China Rose,147,0,45
60,Magenta Light,225,136,166
62,Magenta,206,89,141
63,Magenta Dark,178,47,87
65,Antique Rose Very Dark,120,20,46
66,Raspberry Light,201,126,147
68,Raspberty Medium Light,161,67,94
69,Raspberry,113,27,56
70,Raspberry Dark,86,2,35
72,Raspberry Very Dark,75,0,29
73,Antique Rose Very Light,254,182,194
74,Antique Rose Light,236,156,167
75,Antique Rose Medium Light,224,122,136
76,Antique Rose,172,80,95
77,Antique Rose Medium Dark,174,54,90
78,Antique Rose Dark,130,43,77
85,Orchid Light,234,171,214
86,Orchid Medium Light,213,129,181
87,Orchid,179,80,137
88,Orchid Medium Dark,158,45,107
89,Orchid Dark,125,21,74
90,Plum Light,186,146,173
92,Plum,119,42,98
94,Plum Dark,97,6,63
95,Violet Very Light,223,183,218
96,Violet Light,197,124,169
97,Violet Medium Light,166,93,139
98,Violet,133,72,131
99,Violet Medium,119,43,107
100,Violet Medium Dark,101,36,92
101,Violet Dark,75,16,70
102,Violet Very Dark,48,0,0
103,Plum Very Light,235,197,218
108,Lavender Light,168,141,194
109,Lavender Medium Light,125,95,159
110,Lavender,111,72,135
111,Lavender Medium Dark,82,43,108
112,Lavender Dark,74,31,100
117,Thistle Light,149,166,209
118,Thistle,102,103,160
119,Thistle Medium Dark,81,56,113
120,Blueberry Light,149,176,193
121,Blueberry Medium Light,100,120,153
122,Blueberry,47,51,88
123,Blueberry Dark,22,21,63
127,Indigo,1,1,39
128,Blue Light,218,240,254
129,Blue,172,200,221
130,Blue Medium Light,158,182,210
131,Blue Medium,81,98,141
132,Blue Medium Dark,3,64,119
133,Blue Dark,22,50,113
134,Blue Very Dark,2,18,96
136,Wedgewood Light,109,133,169
137,Wedgewood Medium,61,75,120
139,Wedgewood Dark,26,50,110
140,Copen Blue Light,181,203,227
142,Copen Blue,38,79,131
143,Copen Blue Dark,12,52,101
144,Delft Blue Very Light,156,182,199
145,Delft Blue Light,122,144,183
146,Delft Blue,66,99,140
147,Delft Blue Medium Light,39,62,112
148,Delft Blue,2,42,93
149,Delft Blue Medium Dark,0,8,71
150,Delft Blue Dark,7,15,78
152,Delft Blue Very Dark,5,0,59
158,Sapphire Very Light,209,235,236
159,Sapphire Light,177,204,213
160,Sapphire Medium Light,160,194,219
161,Sapphire,81,124,156
162,Sapphire Medium Dark,15,68,102
164,Sapphire Dark,7,54,82
167,Surf Blue Very Light,125,173,183
168,Surf Blue Light,74,130,145
169,Surf Blue Medium,21,93,118
170,Surf Blue Dark,19,70,99
175,Ocean Blue Light,134,138,185
176,Ocean Blue,97,94,147
177,Ocean Blue Medium,49,41,101
178,Ocean Blue Dark,34,24,84
185,Sea Green Light,132,207,187
186,Sea Green Medium Light,93,175,152
187,Sea Green Medium,62,147,124
188,Sea Green Medium Dark,40,99,81
189,Sea Green Dark,8,86,73
203,Mint Green Light,152,195,152
204,Mint Green Medium,101,161,127
205,Mint Green Dark,67,125,87
206,Spruce Light,162,209,165
208,Spruce Medium Light,101,158,117
209,Spruce,79,135,86
210,Spruce Medium,57,105,67
211,Spruce Medium Dark,30,83,57
212,Spruce Dark,23,65,41
213,Juniper Very Light,190,198,174
214,Juniper Light,152,177,147
215,Juniper Medium Light,120,145,113
216,Juniper,87,117,81
217,Juniper Medium Dark,40,78,48
218,Juniper Dark,36,54,32
225,Emerald Light,105,147,81
226,Emerald Medium Light,93,148,65
227,Emerald,42,110,51
228,Emerald Medium Dark,30,85,43
229,Emerald Dark,18,66,16
230,Mint Green Very Dark,8,78,42
231,Rose Gray Light,183,164,160
232,Rose Gray Medium,145,129,129
233,Rose Gray,105,97,94
234,Charcoal Gray Light,183,175,162
235,Charcoal Gray,108,107,112
236,Charcoal Gray Dark,44,44,44
238,Spring Green,106,153,57
239,Spring Green Dark,76,131,40
240,Grass Green Light,159,177,125
241,Grass Green,131,172,106
242,Grass Green Medium Light,106,141,85
243,Grass Green,77,116,59
244,Grass Green Medium Dark,65,97,48
245,Grass Green Dark,39,76,22
246,Grass Green Very Dark,39,66,23
253,Parrot Green Very Light,208,224,126
254,Parrot Green Light,176,192,94
255,Parrot Green Medium Light,146,155,48
256,Parrot Green,100,123,19
257,Parrot Green Medium Dark,65,94,14
258,Parrot Green Dark,42,72,0
259,Loden Green Very Light,222,232,171
260,Loden Green Light,164,171,127
261,Loden Green Medium Light,119,149,97
262,Loden Green,59,86,43
263,Loden Green Dark,42,57,26
264,Avocado Very Light,154,166,128
265,Avocado Light,146,179,98
266,Avocado Medium Light,94,111,59
267,Avocado,63,81,33
268,Avocado Medium Dark,43,55,17
269,Avocado Dark,38,47,18
271,Soft Carnation,234,200,201
273,Stone Gray Dark,68,63,60
274,Blue Mist Light,194,204,196
275,Citrus Light,255,246,201
276,Pearl,230,198,175
277,Desert Very Dark,97,58,15
278,Olive Green Light,196,189,99
279,Olive Green Medium Light,161,143,59
280,Olive Green,118,109,44
281,Olive Green Dark,88,74,25
288,Canary Yellow Light,255,241,119
289,Canary Yellow Medium,242,219,64
290,Canary Yellow Medium Dark,250,194,19
291,Canary Yellow Dark,237,176,7
292,Jonquil Very Light,255,235,149
293,Jonquil Light,245,215,103
295,Jonquil Medium Light,248,202,65
297,Jonquil,243,176,10
298,Jonquil Dark,248,164,13
300,Citrus Light,243,208,152
301,Citrus,255,204,124
302,Citrus Medium Light,252,206,131
303,Citrus Medium,255,179,80
304,Citrus Dark,231,113,3
305,Topaz Light,245,189,92
306,Topaz Medium Light,224,150,43
307,Topaz,203,119,23
308,Topaz Medium Dark,173,94,17
309,Topaz Dark,156,71,4
310,Topaz Very Dark,120,53,0
311,Tangerine Very Light,246,132,104
313,Tangerine Light,242,152,89
314,Tangerine Medium Light,229,115,27
316,Tangerine Dark,221,99,34
323,Apricot Light,242,136,94
324,Apricot,223,97,47
326,Apricot Dark,183,77,29
328,Melon Light,250,131,97
329,Melon Medium Dark,243,113,61
330,Melon Dark,238,95,27
332,Blaze Light,221,76,11
333,Blaze Medium Light,209,59,6
334,Blaze,198,37,9
335,Blaze Dark,206,41,21
336,Terra Cotta Light,251,153,126
337,Terra Cotta Medium Light,211,115,77
338,Terra Cotta,191,89,51
339,Terra Cotta Medium,161,62,30
340,Terra Cotta Medium Dark,149,51,12
341,Terra Cotta Dark,134,38,16
342,Lilac Light,205,175,211
343,Slate Blue,153,166,175
347,Bark Light,217,149,102
349,Bark,154,80,45
351,Bark Medium Dark,102,33,4
352,Bark Dark,93,25,2
355,Mocha,125,58,32
357,Mocha Dark,91,41,8
358,Coffee,90,51,34
359,Coffee Medium,89,47,22
360,Coffee Dark,69,32,13
361,Nutmeg Light,230,193,149
362,Nutmeg Medium Light,204,153,90
363,Nutmeg,194,127,56
365,Nutmeg Dark,128,73,19
366,Spice Very Light,222,186,138
367,Spice Light,208,164,125
368,Spice Medium Light,184,136,88
369,Spice,168,105,64
370,Spice Medium Dark,126,66,30
371,Spice Dark,102,57,26
372,Desert Light,206,173,128
